Market,Selection,Odds,matchup,timestamp
Total – Game,Over 224,1.819,Toronto Raptors vs Sacramento Kings,2025-10-08 22:43:30
Handicap – Game,Toronto Raptors -1.0,2.06,Toronto Raptors vs Sacramento Kings,2025-10-08 22:43:30
Handicap – Game,Toronto Raptors +2.5,1.775,Toronto Raptors vs Sacramento Kings,2025-10-08 22:43:30
Handicap – Game,Sacramento Kings -2.0,1.99,Toronto Raptors vs Sacramento Kings,2025-10-08 22:43:30
Handicap – Game,Toronto Raptors +2.0,1.833,Toronto Raptors vs Sacramento Kings,2025-10-08 22:43:30
Handicap – Game,Sacramento Kings -1.5,1.934,Toronto Raptors vs Sacramento Kings,2025-10-08 22:43:30
Handicap – Game,Toronto Raptors +1.5,1.917,Toronto Raptors vs Sacramento Kings,2025-10-08 22:43:30
Handicap – Game,Sacramento Kings -1.0,1.869,Toronto Raptors vs Sacramento Kings,2025-10-08 22:43:30
Handicap – Game,Toronto Raptors +1.0,1.952,Toronto Raptors vs Sacramento Kings,2025-10-08 22:43:30
Handicap – Game,Sacramento Kings +1.0,1.775,Toronto Raptors vs Sacramento Kings,2025-10-08 22:43:30
Total – Game,Under 226,1.787,Toronto Raptors vs Sacramento Kings,2025-10-08 22:43:30
Handicap – Game,Sacramento Kings -2.5,2.06,Toronto Raptors vs Sacramento Kings,2025-10-08 22:43:30
Money Line – Game,Portland Trail Blazers,3.18,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:43:30
Total – Game,Under 220.5,1.877,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:43:30
Handicap – Game,Portland Trail Blazers +6.5,1.99,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:43:30
Money Line – Game,Sacramento Kings,1.854,Toronto Raptors vs Sacramento Kings,2025-10-08 22:43:30
Total – Game,Over 220.5,1.943,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:43:30
Total – Game,Under 220,1.925,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:43:30
Total – Game,Over 220,1.892,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:43:30
Total – Game,Under 219.5,1.99,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:43:30
Total – Game,Over 219.5,1.862,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:43:30
Total – Game,Under 219,2.03,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:43:30
Total – Game,Over 219,1.8,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:43:30
Total – Game,Under 218.5,2.08,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:43:30
Total – Game,Over 218.5,1.763,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:43:30
Handicap – Game,Golden State Warriors -8.5,2.14,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:43:30
Handicap – Game,Portland Trail Blazers +8.5,1.719,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:43:30
Handicap – Game,Golden State Warriors -8.0,2.05,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:43:30
Handicap – Game,Portland Trail Blazers +8.0,1.781,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:43:30
Handicap – Game,Golden State Warriors -7.5,2.0,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:43:30
Handicap – Game,Portland Trail Blazers +7.5,1.862,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:43:30
Handicap – Game,Golden State Warriors -7.0,1.909,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:43:30
Handicap – Game,Portland Trail Blazers +7.0,1.909,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:43:30
Handicap – Game,Golden State Warriors -6.5,1.833,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:43:30
Money Line – Game,Golden State Warriors,1.369,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:43:30
Money Line – Game,Toronto Raptors,2.0,Toronto Raptors vs Sacramento Kings,2025-10-08 22:43:30
Total – Game,Under 233.5,1.819,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:43:30
Total – Game,Over 225.5,1.98,Utah Jazz vs Houston Rockets,2025-10-08 22:43:30
Total – Game,Over 233,1.952,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:43:30
Total – Game,Under 232.5,1.943,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:43:30
Total – Game,Over 232.5,1.909,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:43:30
Total – Game,Under 232,1.98,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:43:30
Total – Game,Over 232,1.847,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:43:30
Total – Game,Under 231.5,2.03,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:43:30
Total – Game,Over 231.5,1.8,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:43:30
Handicap – Game,Boston Celtics -1.5,1.751,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:43:30
Handicap – Game,Memphis Grizzlies +2.0,2.02,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:43:30
Handicap – Game,Boston Celtics -2.0,1.813,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:43:30
Handicap – Game,Memphis Grizzlies +2.5,1.961,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:43:30
Handicap – Game,Boston Celtics -2.5,1.892,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:43:30
Handicap – Game,Memphis Grizzlies +3.0,1.877,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:43:30
Handicap – Game,Boston Celtics -3.0,1.943,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:43:30
Handicap – Game,Memphis Grizzlies +3.5,1.806,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:43:30
Handicap – Game,Boston Celtics -3.5,2.02,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:43:30
Money Line – Game,Memphis Grizzlies,2.24,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:43:30
Money Line – Game,Boston Celtics,1.684,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:43:30
Total – Game,Under 225.5,1.847,Utah Jazz vs Houston Rockets,2025-10-08 22:43:30
Total – Game,Under 233,1.869,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:43:30
Total – Game,Over 233.5,2.0,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:43:30
Handicap – Game,Memphis Grizzlies +1.5,2.09,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:43:30
Money Line – Game,Utah Jazz,4.59,Utah Jazz vs Houston Rockets,2025-10-08 22:43:30
Total – Game,Over 225,1.925,Utah Jazz vs Houston Rockets,2025-10-08 22:43:30
Total – Game,Under 224.5,1.961,Utah Jazz vs Houston Rockets,2025-10-08 22:43:30
Total – Game,Over 224.5,1.884,Utah Jazz vs Houston Rockets,2025-10-08 22:43:30
Total – Game,Under 224,2.0,Utah Jazz vs Houston Rockets,2025-10-08 22:43:30
Total – Game,Over 224,1.826,Utah Jazz vs Houston Rockets,2025-10-08 22:43:30
Total – Game,Under 223.5,2.05,Utah Jazz vs Houston Rockets,2025-10-08 22:43:30
Total – Game,Over 223.5,1.787,Utah Jazz vs Houston Rockets,2025-10-08 22:43:30
Handicap – Game,Houston Rockets -11.5,2.08,Utah Jazz vs Houston Rockets,2025-10-08 22:43:30
Handicap – Game,Utah Jazz +11.5,1.763,Utah Jazz vs Houston Rockets,2025-10-08 22:43:30
Total – Game,Under 225,1.892,Utah Jazz vs Houston Rockets,2025-10-08 22:43:30
Handicap – Game,Utah Jazz +11.0,1.826,Utah Jazz vs Houston Rockets,2025-10-08 22:43:30
Handicap – Game,Houston Rockets -11.0,2.0,Utah Jazz vs Houston Rockets,2025-10-08 22:43:30
Handicap – Game,Utah Jazz +9.5,2.04,Utah Jazz vs Houston Rockets,2025-10-08 22:43:30
Handicap – Game,Houston Rockets -9.5,1.793,Utah Jazz vs Houston Rockets,2025-10-08 22:43:30
Handicap – Game,Utah Jazz +10.0,1.961,Utah Jazz vs Houston Rockets,2025-10-08 22:43:30
Money Line – Game,Houston Rockets,1.201,Utah Jazz vs Houston Rockets,2025-10-08 22:43:30
Handicap – Game,Utah Jazz +10.5,1.909,Utah Jazz vs Houston Rockets,2025-10-08 22:43:30
Handicap – Game,Houston Rockets -10.5,1.943,Utah Jazz vs Houston Rockets,2025-10-08 22:43:30
Handicap – Game,Houston Rockets -10.0,1.854,Utah Jazz vs Houston Rockets,2025-10-08 22:43:30
Total – Game,Under 218.5,2.08,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:55:58
Total – Game,Under 220,1.925,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:55:58
Total – Game,Over 220,1.892,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:55:58
Total – Game,Under 219.5,1.99,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:55:58
Total – Game,Over 219.5,1.862,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:55:58
Total – Game,Under 219,2.03,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:55:58
Total – Game,Over 220.5,1.943,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:55:58
Total – Game,Over 219,1.8,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:55:58
Total – Game,Over 218.5,1.763,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:55:58
Handicap – Game,Golden State Warriors -7.5,2.0,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:55:58
Handicap – Game,Portland Trail Blazers +8.5,1.719,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:55:58
Handicap – Game,Golden State Warriors -8.0,2.05,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:55:58
Handicap – Game,Portland Trail Blazers +8.0,1.781,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:55:58
