team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Minnesota Timberwolves,New York Knicks,https://www.pinnacle.com/en/basketball/nba-preseason/minnesota-timberwolves-vs-new-york-knicks/1617084820/,2.48,1.568,4.5,1.854,-4.5,2.0,224.5,1.934,224.5,1.917,2025-10-09 20:02:50
Minnesota Timberwolves,New York Knicks,https://www.pinnacle.com/en/basketball/nba-preseason/minnesota-timberwolves-vs-new-york-knicks/1617084820/,2.48,1.568,4.5,1.854,-4.5,2.0,226.0,1.961,226.0,1.884,2025-10-09 20:28:56
Detroit Pistons,Milwaukee Bucks,https://www.pinnacle.com/en/basketball/nba-preseason/detroit-pistons-vs-milwaukee-bucks/1617085620/,1.48,2.73,-4.5,1.877,4.5,1.98,222.0,1.943,222.0,1.909,2025-10-09 20:45:26
Detroit Pistons,Milwaukee Bucks,https://www.pinnacle.com/en/basketball/nba-preseason/detroit-pistons-vs-milwaukee-bucks/1617085620/,1.48,2.73,-4.5,1.877,4.5,1.98,222.0,1.943,222.0,1.909,2025-10-09 20:51:05
Detroit Pistons,Milwaukee Bucks,https://www.pinnacle.com/en/basketball/nba-preseason/detroit-pistons-vs-milwaukee-bucks/1617085620/,1.48,2.73,-4.5,1.877,4.5,1.98,222.0,1.943,222.0,1.909,2025-10-09 20:57:52
Charlotte Hornets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-oklahoma-city-thunder/1617085735/,4.34,1.22,10.0,1.925,-10.0,1.925,231.0,1.892,231.0,1.961,2025-10-09 21:24:06
Cleveland Cavaliers,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-chicago-bulls/1617084822/,1.49,2.7,-4.5,1.869,4.5,1.98,233.5,1.847,233.5,2.01,2025-10-09 21:24:06
Cleveland Cavaliers,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-chicago-bulls/1617084822/,1.495,2.68,-4.5,1.877,4.5,1.98,233.5,1.892,233.5,1.961,2025-10-09 21:41:49
Charlotte Hornets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-oklahoma-city-thunder/1617085735/,4.2,1.232,10.0,1.854,-10.0,2.0,231.0,1.9,231.0,1.952,2025-10-09 21:41:49
Charlotte Hornets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-oklahoma-city-thunder/1617085735/,4.2,1.232,10.0,1.854,-10.0,2.0,231.0,1.9,231.0,1.952,2025-10-09 21:47:28
Detroit Pistons,Milwaukee Bucks,https://www.pinnacle.com/en/basketball/nba-preseason/detroit-pistons-vs-milwaukee-bucks/1617085620/,1.502,2.66,-4.5,1.909,4.5,1.943,222.0,1.925,222.0,1.925,2025-10-09 21:47:28
Cleveland Cavaliers,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-chicago-bulls/1617084822/,1.495,2.68,-4.5,1.877,4.5,1.98,233.5,1.892,233.5,1.961,2025-10-09 21:47:28
Cleveland Cavaliers,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-chicago-bulls/1617084822/,1.495,2.68,-4.5,1.877,4.5,1.98,233.5,1.892,233.5,1.961,2025-10-09 21:55:17
Charlotte Hornets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-oklahoma-city-thunder/1617085735/,4.2,1.232,10.0,1.854,-10.0,2.0,231.0,1.9,231.0,1.952,2025-10-09 21:55:17
Detroit Pistons,Milwaukee Bucks,https://www.pinnacle.com/en/basketball/nba-preseason/detroit-pistons-vs-milwaukee-bucks/1617085620/,1.502,2.66,-4.5,1.909,4.5,1.943,222.0,1.925,222.0,1.925,2025-10-09 21:55:17
Guangzhou Loong Lions,Los Angeles Clippers,https://www.pinnacle.com/en/basketball/nba-preseason/guangzhou-loong-lions-vs-los-angeles-clippers/1617087795/,,,34.0,1.787,-34.0,2.05,213.0,1.806,213.0,2.02,2025-10-09 22:00:27
Detroit Pistons,Milwaukee Bucks,https://www.pinnacle.com/en/basketball/nba-preseason/detroit-pistons-vs-milwaukee-bucks/1617085620/,1.502,2.66,-4.5,1.909,4.5,1.943,222.0,1.925,222.0,1.925,2025-10-09 22:00:27
Cleveland Cavaliers,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-chicago-bulls/1617084822/,1.495,2.68,-4.5,1.877,4.5,1.98,233.5,1.892,233.5,1.961,2025-10-09 22:00:27
Charlotte Hornets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-oklahoma-city-thunder/1617085735/,4.2,1.232,10.0,1.854,-10.0,2.0,231.0,1.9,231.0,1.952,2025-10-09 22:00:27
Guangzhou Loong Lions,Los Angeles Clippers,https://www.pinnacle.com/en/basketball/nba-preseason/guangzhou-loong-lions-vs-los-angeles-clippers/1617087795/,,,34.0,1.84,-34.0,1.98,213.0,1.806,213.0,2.02,2025-10-09 22:23:32
Cleveland Cavaliers,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-chicago-bulls/1617084822/,1.495,2.68,-4.5,1.877,4.5,1.98,233.5,1.892,233.5,1.961,2025-10-09 22:23:32
